JOKER 92 133 131 142
RECT 4 24 219 24 2
RECT 2 25 3 25 2
RECT 220 25 221 25 2
RECT 1 26 1 27 2
RECT 222 26 222 27 2
RECT 5 27 106 27 2
RECT 117 27 218 27 2
RECT 0 28 0 99 2
RECT 4 28 4 28 2
RECT 107 28 107 28 2
RECT 116 28 116 28 2
RECT 219 28 219 28 2
RECT 223 28 223 99 2
RECT 3 29 3 98 2
RECT 108 29 108 57 2
RECT 115 29 115 57 2
RECT 220 29 220 98 2
RECT 22 44 41 44 2
RECT 62 44 89 44 2
RECT 134 44 161 44 2
RECT 182 44 201 44 2
RECT 21 45 21 45 2
RECT 42 45 42 45 2
RECT 61 45 61 45 2
RECT 90 45 90 45 2
RECT 133 45 133 45 2
RECT 162 45 162 45 2
RECT 181 45 181 45 2
RECT 202 45 202 45 2
RECT 20 46 20 57 2
RECT 43 46 43 57 2
RECT 60 46 60 57 2
RECT 91 46 91 57 2
RECT 132 46 132 57 2
RECT 163 46 163 57 2
RECT 180 46 180 57 2
RECT 203 46 203 57 2
RECT 21 58 21 58 2
RECT 42 58 42 58 2
RECT 61 58 61 58 2
RECT 90 58 90 58 2
RECT 109 58 109 58 2
RECT 114 58 114 58 2
RECT 133 58 133 58 2
RECT 162 58 162 58 2
RECT 181 58 181 58 2
RECT 202 58 202 58 2
RECT 22 59 41 59 2
RECT 62 59 89 59 2
RECT 110 59 113 59 2
RECT 134 59 161 59 2
RECT 182 59 201 59 2
RECT 22 76 41 76 2
RECT 62 76 65 76 2
RECT 86 76 137 76 2
RECT 158 76 161 76 2
RECT 182 76 201 76 2
RECT 21 77 21 77 2
RECT 42 77 42 77 2
RECT 61 77 61 77 2
RECT 66 77 66 77 2
RECT 85 77 85 77 2
RECT 138 77 138 77 2
RECT 157 77 157 77 2
RECT 162 77 162 77 2
RECT 181 77 181 77 2
RECT 202 77 202 77 2
RECT 20 78 20 81 2
RECT 43 78 43 81 2
RECT 60 78 60 129 2
RECT 67 78 67 98 2
RECT 84 78 84 81 2
RECT 139 78 139 81 2
RECT 156 78 156 98 2
RECT 163 78 163 129 2
RECT 180 78 180 81 2
RECT 203 78 203 81 2
RECT 21 82 21 82 2
RECT 42 82 42 82 2
RECT 85 82 85 82 2
RECT 138 82 138 82 2
RECT 181 82 181 82 2
RECT 202 82 202 82 2
RECT 22 83 41 83 2
RECT 86 83 106 83 2
RECT 117 83 137 83 2
RECT 182 83 201 83 2
RECT 107 84 107 84 2
RECT 116 84 116 84 2
RECT 108 85 108 105 2
RECT 115 85 115 105 2
RECT 4 99 4 99 2
RECT 68 99 68 99 2
RECT 155 99 155 99 2
RECT 219 99 219 99 2
RECT 1 100 1 101 2
RECT 5 100 41 100 2
RECT 69 100 89 100 2
RECT 134 100 154 100 2
RECT 182 100 218 100 2
RECT 222 100 222 101 2
RECT 42 101 42 101 2
RECT 90 101 90 101 2
RECT 133 101 133 101 2
RECT 181 101 181 101 2
RECT 2 102 3 102 2
RECT 43 102 43 129 2
RECT 91 102 91 105 2
RECT 132 102 132 105 2
RECT 180 102 180 129 2
RECT 220 102 221 102 2
RECT 4 103 39 103 2
RECT 184 103 219 103 2
RECT 40 104 40 127 2
RECT 183 104 183 127 2
RECT 90 106 90 106 2
RECT 109 106 109 106 2
RECT 114 106 114 106 2
RECT 133 106 133 106 2
RECT 69 107 89 107 2
RECT 110 107 113 107 2
RECT 134 107 154 107 2
RECT 68 108 68 108 2
RECT 155 108 155 108 2
RECT 67 109 67 129 2
RECT 156 109 156 129 2
RECT 106 114 107 115 2
RECT 112 114 113 115 2
RECT 84 124 103 124 2
RECT 120 124 139 124 2
RECT 84 125 84 155 2
RECT 103 125 103 127 2
RECT 120 125 120 127 2
RECT 139 125 139 155 2
RECT 87 127 103 127 2
RECT 121 127 136 127 2
RECT 0 128 39 128 2
RECT 87 128 87 152 2
RECT 136 128 136 152 2
RECT 184 128 223 128 2
RECT 42 130 42 130 2
RECT 61 130 61 130 2
RECT 66 130 66 130 2
RECT 157 130 157 130 2
RECT 162 130 162 130 2
RECT 181 130 181 130 2
RECT 0 131 41 131 2
RECT 62 131 65 131 2
RECT 158 131 161 131 2
RECT 182 131 223 131 2
RECT 90 136 90 145 2
RECT 91 138 91 144 2
RECT 89 139 102 144 2
RECT 89 145 90 145 2
RECT 92 145 94 145 2
RECT 97 145 99 145 2
RECT 101 145 102 145 2
RECT 89 146 89 146 2
RECT 93 146 94 146 2
RECT 97 146 98 146 2
RECT 102 146 102 146 2
RECT 0 148 41 148 2
RECT 62 148 65 148 2
RECT 158 148 161 148 2
RECT 182 148 223 148 2
RECT 42 149 42 149 2
RECT 61 149 61 149 2
RECT 66 149 66 149 2
RECT 157 149 157 149 2
RECT 162 149 162 149 2
RECT 181 149 181 149 2
RECT 43 150 43 177 2
RECT 60 150 60 177 2
RECT 67 150 67 177 2
RECT 156 150 156 177 2
RECT 163 150 163 177 2
RECT 180 150 180 177 2
RECT 0 151 39 151 2
RECT 184 151 223 151 2
RECT 40 152 40 175 2
RECT 88 152 136 152 2
RECT 183 152 183 175 2
RECT 85 155 139 155 2
RECT 86 172 137 172 2
RECT 85 173 85 173 2
RECT 138 173 138 173 2
RECT 84 174 84 177 2
RECT 139 174 139 177 2
RECT 4 176 39 176 2
RECT 184 176 219 176 2
RECT 2 177 3 177 2
RECT 220 177 221 177 2
RECT 1 178 1 179 2
RECT 42 178 42 178 2
RECT 61 178 61 178 2
RECT 66 178 66 178 2
RECT 85 178 85 178 2
RECT 138 178 138 178 2
RECT 157 178 157 178 2
RECT 162 178 162 178 2
RECT 181 178 181 178 2
RECT 222 178 222 179 2
RECT 5 179 41 179 2
RECT 62 179 65 179 2
RECT 86 179 106 179 2
RECT 117 179 137 179 2
RECT 158 179 161 179 2
RECT 182 179 218 179 2
RECT 0 180 0 267 2
RECT 4 180 4 180 2
RECT 107 180 107 180 2
RECT 116 180 116 180 2
RECT 219 180 219 180 2
RECT 223 180 223 267 2
RECT 3 181 3 218 2
RECT 108 181 108 201 2
RECT 115 181 115 201 2
RECT 220 181 220 218 2
RECT 22 196 41 196 2
RECT 62 196 89 196 2
RECT 134 196 161 196 2
RECT 182 196 201 196 2
RECT 21 197 21 197 2
RECT 42 197 42 197 2
RECT 61 197 61 197 2
RECT 90 197 90 197 2
RECT 133 197 133 197 2
RECT 162 197 162 197 2
RECT 181 197 181 197 2
RECT 202 197 202 197 2
RECT 20 198 20 201 2
RECT 43 198 43 225 2
RECT 60 198 60 201 2
RECT 91 198 91 201 2
RECT 132 198 132 201 2
RECT 163 198 163 201 2
RECT 180 198 180 225 2
RECT 203 198 203 201 2
RECT 21 202 21 202 2
RECT 61 202 61 202 2
RECT 90 202 90 202 2
RECT 109 202 109 202 2
RECT 114 202 114 202 2
RECT 133 202 133 202 2
RECT 162 202 162 202 2
RECT 202 202 202 202 2
RECT 22 203 34 203 2
RECT 62 203 89 203 2
RECT 110 203 113 203 2
RECT 134 203 161 203 2
RECT 189 203 201 203 2
RECT 35 204 35 204 2
RECT 188 204 188 204 2
RECT 36 205 36 225 2
RECT 187 205 187 225 2
RECT 4 219 4 219 2
RECT 219 219 219 219 2
RECT 5 220 17 220 2
RECT 62 220 65 220 2
RECT 86 220 137 220 2
RECT 158 220 161 220 2
RECT 206 220 218 220 2
RECT 18 221 18 221 2
RECT 61 221 61 221 2
RECT 66 221 66 221 2
RECT 85 221 85 221 2
RECT 138 221 138 221 2
RECT 157 221 157 221 2
RECT 162 221 162 221 2
RECT 205 221 205 221 2
RECT 19 222 19 225 2
RECT 60 222 60 242 2
RECT 67 222 67 242 2
RECT 84 222 84 225 2
RECT 139 222 139 225 2
RECT 156 222 156 242 2
RECT 163 222 163 242 2
RECT 204 222 204 225 2
RECT 18 226 18 226 2
RECT 37 226 37 226 2
RECT 42 226 42 226 2
RECT 85 226 85 226 2
RECT 138 226 138 226 2
RECT 181 226 181 226 2
RECT 186 226 186 226 2
RECT 205 226 205 226 2
RECT 5 227 17 227 2
RECT 38 227 41 227 2
RECT 86 227 106 227 2
RECT 117 227 137 227 2
RECT 182 227 185 227 2
RECT 206 227 218 227 2
RECT 4 228 4 228 2
RECT 107 228 107 228 2
RECT 116 228 116 228 2
RECT 219 228 219 228 2
RECT 3 229 3 266 2
RECT 108 229 108 249 2
RECT 115 229 115 249 2
RECT 220 229 220 266 2
RECT 59 243 59 243 2
RECT 68 243 68 243 2
RECT 155 243 155 243 2
RECT 164 243 164 243 2
RECT 22 244 58 244 2
RECT 69 244 89 244 2
RECT 134 244 154 244 2
RECT 165 244 201 244 2
RECT 21 245 21 245 2
RECT 90 245 90 245 2
RECT 133 245 133 245 2
RECT 202 245 202 245 2
RECT 20 246 20 249 2
RECT 91 246 91 249 2
RECT 132 246 132 249 2
RECT 203 246 203 249 2
RECT 21 250 21 250 2
RECT 90 250 90 250 2
RECT 109 250 109 250 2
RECT 114 250 114 250 2
RECT 133 250 133 250 2
RECT 202 250 202 250 2
RECT 22 251 89 251 2
RECT 110 251 113 251 2
RECT 134 251 201 251 2
RECT 4 267 4 267 2
RECT 219 267 219 267 2
RECT 1 268 1 269 2
RECT 5 268 218 268 2
RECT 222 268 222 269 2
RECT 2 270 3 270 2
RECT 220 270 221 270 2
RECT 4 271 219 271 2
RECT 11 35 12 36 7
RECT 19 35 20 36 7
RECT 27 35 28 36 7
RECT 35 35 36 36 7
RECT 43 35 44 36 7
RECT 51 35 52 36 7
RECT 59 35 60 36 7
RECT 67 35 68 36 7
RECT 75 35 76 36 7
RECT 83 35 84 36 7
RECT 91 35 92 36 7
RECT 99 35 100 36 7
RECT 123 35 124 36 7
RECT 131 35 132 36 7
RECT 139 35 140 36 7
